filename	sequence	start_VDD	Stop_CLRH	HRP3	Ambiguit_check	Length_between_start_and_stop	total_length_of_repeats	residues	exon_1	exon2_start	repeat_type	repeat_type_count
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type1	2
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type2	11
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type3	1
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type4	3
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type5	1
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type6	3
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type7	6
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type8	1
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type9	0
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type10	2
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type11	0
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type12	1
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type13	0
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type14	0
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type30	0
5884 tig00000001 mapped translation.fasta	>5884_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	242	239	3	1	1	type31	0
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type1	2
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type2	12
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type3	1
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type4	1
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type5	1
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type6	3
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type7	6
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type8	1
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type9	0
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type10	2
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type11	0
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type12	1
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type13	0
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type14	0
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type30	0
5884_bc18.fasta	>5884_bc18_-_Pf3D7_08_v3_HRP2_ann_v1_extraction_060121_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	242	242	0	1	1	type31	0
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type1	2
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type2	12
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type3	1
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type4	3
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type5	1
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type6	3
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type7	6
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type8	1
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type9	0
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type10	2
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type11	0
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type12	1
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type13	0
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type14	0
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type30	0
5884_bc18.fasta	>5884_bc18_Contig_1_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	248	248	0	1	1	type31	0
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type1	5
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type2	10
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type3	1
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type4	1
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type5	1
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type6	3
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type7	7
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type8	1
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type9	0
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type10	1
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type11	0
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type12	1
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type13	0
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type14	0
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type30	0
5884_bc18.fasta	>5884_bc18_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	246	246	0	1	1	type31	0
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type1	3
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type2	15
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type3	1
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type4	0
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type5	0
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type6	4
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type7	3
5884_bc18.fasta	>5884_bc18_Contig_3_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	254	254	0	1	1	type8	1
