filename	sequence	start_VDD	Stop_CLRH	HRP3	Ambiguit_check	Length_between_start_and_stop	total_length_of_repeats	residues	exon_1	exon2_start	repeat_type	repeat_type_count
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type1	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type2	11
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type3	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type4	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type5	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type6	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type7	5
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type8	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type9	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type10	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type11	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type12	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type13	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type14	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type30	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_barcode01_canu_assembly	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type31	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type1	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type2	11
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type3	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type4	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type5	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type6	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type7	5
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type8	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type9	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type10	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type11	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type12	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type13	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type14	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type30	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_1_consensus_sequence_de_novo_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type31	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type1	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type2	11
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type3	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type4	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type5	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type6	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type7	5
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type8	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type9	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type10	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type11	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type12	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type13	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type14	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type30	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_2_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type31	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type1	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type2	11
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type3	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type4	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type5	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type6	3
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type7	5
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type8	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type9	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type10	2
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type11	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type12	1
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type13	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type14	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type30	0
3D7_FC1_bc01.multi.fasta	>3D7_FC1_bc01_Contig_4_consensus_sequence_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type31	0
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type1	3
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type2	11
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type3	1
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type4	1
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type5	2
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type6	3
3D7_tig000001_mapped_translation.fasta	>3D7_FC1_bc01_tig00000001_mapped_translation	VDD is present	CLRH is present	No HRP3	False	245	245	0	1	1	type7	5
